,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent
16,10247,"ABATECOLA, BILL",AZ,3.0,REP,2018,0.498788469,15.7,REP,0.0,0,0.30032,1.0,0.47,True,4.0,47670.0,9,0.0,75.3,45488.0,30467.2
17,10254,"BRILL, DAVID H",AZ,4.0,DEM,2018,0.457349567,18.6,REP,0.284821581,0,0.11402000000000001,1.0,0.47,False,4.0,49387.0,4,53.0,76.2,359836.83,189839.67
18,10265,"GREENE, JOAN",AZ,5.0,DEM,2018,0.48467386700000004,34.7,REP,0.36859775,0,0.15536,0.0,0.47,False,0.0,71675.0,500,60.0,75.63333,147857.31,139515.94
19,10270,"JETTE, MATT DR.",AZ,6.0,DEM,2018,0.48467386700000004,42.9,REP,0.38377276299999996,0,0.14997,1.0,0.47,False,0.0,73425.0,500,0.0,77.8,297760.06,148377.42
20,10272,"GALLEGO, RUBEN",AZ,7.0,DEM,2018,0.48467386700000004,14.0,REP,0.745981278,1,0.33626,1.0,0.47,False,3.0,43969.0,182,74.4,76.2,934829.05,853431.59
21,10275,"ALLEN, CHAD",AZ,8.0,REP,2018,0.48467386700000004,28.3,REP,0.685526338,0,0.17359000000000002,1.0,0.47,True,0.0,67699.0,30,0.0,77.18421,1797520.42,1289147.72
22,10299,"ARAUJO, HECTOR MR.",AZ,9.0,DEM,2018,0.48467386700000004,36.7,REP,0.611229195,0,0.2655,1.0,0.47,False,,56598.0,194,0.0,72.7,2125315.56,1529134.73
23,10315,"CHEADLE, GREGORY",CA,1.0,REP,2018,0.414818171,23.2,DEM,0.595138764,0,0.14035,1.0,0.35,True,0.0,51478.0,29,6.3,78.9,809720.61,431388.01
24,10318,"CAFFREY, ANDY",CA,2.0,DEM,2018,0.749410905,40.0,DEM,0.770896409,0,0.20906,1.0,0.35,False,0.0,76114.0,28,6.2,78.74,821700.49,628979.08
25,10319,"GARAMENDI, JOHN",CA,3.0,DEM,2018,0.624305608,24.5,DEM,0.5823093810000001,1,0.32289,1.0,0.35,False,0.0,65934.0,6,53.6,77,994729.41,708803.52
26,10324,"BATESON, REGINA",CA,4.0,DEM,2018,0.471879559,32.2,DEM,0.37215236,0,0.15235,0.0,0.35,False,0.0,75841.0,112,12.2,76.9,2822139.89,1757035.12
27,10332,"THOMPSON, MIKE MR.",CA,5.0,DEM,2018,0.7190047709999999,30.4,DEM,0.7717901999999999,1,0.38266999999999995,1.0,0.35,False,0.0,78152.0,1,79.1,77.14737,1892822.75,1814483.19
28,10337,"JEFFERSON, DELMA",CA,6.0,DEM,2018,0.643959188,26.8,DEM,0.7524867009999999,0,0.51558,0.0,0.35,False,0.0,54243.0,500,0.0,77.33333,0.0,0.0
29,10339,"BARASH, YONA",CA,7.0,REP,2018,0.632057804,32.6,DEM,0.488085039,0,0.37299,1.0,0.35,True,0.0,74608.0,500,12.6,77.9,487169.13,414702.4
30,10345,"BROWN, YOLANDA",CA,8.0,DEM,2018,0.555388977,16.0,DEM,0.37253554899999997,0,0.23406,0.0,0.35,False,0.0,52428.0,116,0.0,76.9,,
31,10355,"HOWZE, TED D II",CA,9.0,REP,2018,0.660084488,19.7,DEM,0.423702523,0,0.47534,1.0,0.35,True,0.0,65392.0,181,0.0,77.2,51290.5,29662.12
32,10367,"BARKLEY, MICHAEL JAMES",CA,10.0,DEM,2018,0.547732178,17.2,DEM,0.47630676,0,0.2586,1.0,0.35,False,4.0,63223.0,1,2.3,77.2,6045041.41,4522149.21
33,10369,"DESAULNIER, MARK",CA,11.0,DEM,2018,0.733583309,42.6,DEM,0.717622167,1,0.40492,1.0,0.35,False,0.0,90155.0,18,67.8,77.3,530980.07,424980.9
34,10377,"BUTTAR, SHAHID",CA,12.0,DEM,2018,0.901539298,56.3,DEM,0.8104028090000001,0,0.52273,1.0,0.35,False,4.0,111717.0,500,8.1,77.4,3835610.11,4236870.9
35,10380,"LEE, BARBARA",CA,13.0,DEM,2018,0.865520726,46.1,DEM,0.907087242,1,0.58612,0.0,0.35,False,0.0,76915.0,76,100.0,77.33333,1585339.12,1527355.33
36,10383,"OSMENA, CRISTINA",CA,14.0,REP,2018,0.85909314,44.7,DEM,0.191160823,0,0.57648,0.0,0.35,True,4.0,110507.0,500,100.0,80.2,0.0,0.0
37,10385,"PETERS, RUDY PETERS",CA,15.0,REP,2018,0.797441126,42.4,DEM,0.262442286,0,0.57799,1.0,0.35,True,0.0,116710.0,500,27.5,79.3,41270.43,30802.52
38,10387,"COSTA, JIM",CA,16.0,DEM,2018,0.526297812,12.0,DEM,0.578363985,1,0.4192,1.0,0.35,False,0.0,43839.0,5,100.0,78.83158,1552290.47,1453052.99
39,10389,"COHEN, RONALD H",CA,17.0,REP,2018,0.810020538,54.9,DEM,0.0,0,0.72363,1.0,0.35,True,0.0,124131.0,43,23.9,78.09524,3446.0,2774.0
40,10395,"ESHOO, ANNA G",CA,18.0,DEM,2018,0.789563908,60.5,DEM,0.7123179070000001,1,0.37395,0.0,0.35,False,4.0,134077.0,87,72.4,77.9,1200282.66,1071140.22
41,10399,"AGUILERA, JUSTIN",CA,19.0,REP,2018,0.7794624,33.5,DEM,0.260309856,0,0.57172,1.0,0.35,True,0.0,101427.0,38,0.0,76.9,11400.0,931.08
42,10403,"DEITCH, DOUGLAS",CA,20.0,DEM,2018,0.771435278,27.1,DEM,0.706014796,0,0.42127,1.0,0.35,False,4.0,73076.0,50,3.8,77.2,1036427.93,520270.39
43,10404,"COX, TERRANCE JOHN (TJ)",CA,21.0,DEM,2018,0.477193916,8.1,DEM,0.420261759,0,0.28365999999999997,1.0,0.35,False,0.0,42621.0,196,100.0,77.2,2239084.62,1734201.06
44,10410,"BLIATOUT, BOBBY",CA,22.0,DEM,2018,0.508858687,24.0,DEM,0.317900397,0,0.28875,1.0,0.35,False,0.0,57667.0,93,4.7,77.3,7222481.46,5792590.74
45,10416,"BARRO, MARY",CA,23.0,DEM,2018,0.73162692,19.6,DEM,0.299933391,0,0.24786,0.0,0.35,False,0.0,55680.0,15,0.0,77.4,34973.57,28834.46
46,10424,"CARBAJAL, SALUD",CA,24.0,DEM,2018,0.600895187,33.0,DEM,0.532463085,1,0.19351,0.0,0.35,False,0.0,71356.0,500,53.3,77.33333,2526864.09,1277421.16
47,10433,"CAFORIO, BRYAN",CA,25.0,DEM,2018,0.746669879,27.3,DEM,0.45801291899999996,0,0.36675,1.0,0.35,False,0.0,76866.0,46,18.3,80.2,6262976.2,3902670.99
48,10440,"BROWNLEY, JULIA",CA,26.0,DEM,2018,0.746669879,32.4,DEM,0.598637098,1,0.19641,0.0,0.35,False,4.0,82029.0,131,53.9,79.3,2377711.77,1292238.55
49,10444,"CARDENAS, BEATRICE I",CA,27.0,REP,2018,0.729348049,41.2,DEM,0.33511608600000004,0,0.62967,0.0,0.35,True,4.0,77629.0,500,0.0,78.15263,,
50,10448,"GENOVESE, SAL",CA,28.0,DEM,2018,0.761992105,44.3,DEM,0.779236072,0,0.31805,1.0,0.35,False,0.0,65849.0,500,5.6,76.80952,5683159.68,3218152.87
51,10455,"BERNAL, BENITO BENNY",CA,29.0,REP,2018,0.761992105,19.3,DEM,0.0,0,0.4335,1.0,0.35,True,4.0,53347.0,500,18.0,75.6,3800.0,3768.0
52,10460,"PELZER, JONATHAN",CA,30.0,DEM,2018,0.746669879,42.1,DEM,0.724391978,0,0.36903,1.0,0.35,False,4.0,81276.0,32,4.9,75.7,1157511.26,492737.87
53,10461,"AGUILAR, PETE",CA,31.0,DEM,2018,0.556853032,23.0,DEM,0.5567333529999999,1,0.40595,1.0,0.35,False,4.0,61631.0,55,46.0,75.9,2475416.4,1397346.82
54,10464,"LUTZ, MARY ANN",CA,32.0,DEM,2018,0.761992105,20.5,DEM,1.0,0,0.5664899999999999,0.0,0.35,False,0.0,70390.0,15,0.0,76,335678.39,163702.43
55,10468,"LIEU, TED",CA,33.0,DEM,2018,0.761992105,63.3,DEM,0.662554092,1,0.27814,1.0,0.35,False,4.0,105200.0,181,60.7,76.1,1636257.36,886663.74
56,10477,"AHN, JASON DR.",CA,34.0,DEM,2018,0.761992105,24.2,DEM,1.0,0,0.6298699999999999,1.0,0.35,False,0.0,46883.0,3,0.0,76.2,1410049.96,1317962.99
57,10503,"BACA, JOE",CA,35.0,DEM,2018,0.729348049,14.8,DEM,0.717637752,0,0.54162,1.0,0.35,False,4.0,60741.0,107,14.4,76.12667,582329.32,523914.95
58,10507,"BALL, DAN",CA,36.0,REP,2018,0.528610713,20.6,DEM,0.38573439,0,0.29241999999999996,1.0,0.35,True,4.0,46494.0,12,7.9,77.6,675034.23,496696.47
59,10511,"BASS, KAREN",CA,37.0,DEM,2018,0.761992105,37.2,DEM,1.0,0,0.59333,0.0,0.35,False,4.0,59069.0,25,100.0,76.4,720746.46,722531.21
60,10513,"DOWNING, RYAN",CA,38.0,REP,2018,0.706543872,21.9,DEM,0.302598121,0,0.58506,1.0,0.35,True,4.0,72463.0,25,100.0,76.67368,0.0,0.0
61,10534,"CHEN, JAY",CA,39.0,DEM,2018,0.688084785,40.2,DEM,0.42256337299999996,0,0.49831000000000003,1.0,0.35,False,4.0,89300.0,116,0.0,76.5381,9954354.24,9671443.73
62,10537,"ROYBAL-ALLARD, LUCILLE",CA,40.0,DEM,2018,0.761992105,9.2,DEM,0.718698185,1,0.46465,0.0,0.35,False,4.0,47190.0,500,100.0,76.4,482335.97,467511.4
63,10541,"SHEPHERD, DOUG",CA,41.0,REP,2018,0.528610713,17.0,DEM,0.35638179700000006,0,0.59523,1.0,0.35,True,4.0,64658.0,50,0.0,76.4,36804.88,29975.8
64,10545,"CALVERT, KENNETH S",CA,42.0,REP,2018,0.528610713,24.3,DEM,0.590264008,1,0.42028000000000004,1.0,0.35,True,4.0,83837.0,31,61.8,76.8,1375120.53,1234907.22
65,10553,"CAMPER, CANDANCE MS",CA,43.0,REP,2018,0.761992105,24.9,DEM,0.244075551,0,0.65049,0.0,0.35,True,4.0,56655.0,500,0.0,76.1,793860.25,637320.94
66,10555,"BARRAGAN, NANETTE",CA,44.0,DEM,2018,0.761992105,12.1,DEM,1.0,0,0.59055,0.0,0.35,False,4.0,50346.0,500,65.9,77.8,1408038.79,710728.44
67,10568,"FORDE, BRIAN",CA,45.0,DEM,2018,0.546017443,53.5,DEM,0.41036266899999996,0,0.3925,1.0,0.35,False,0.0,102040.0,8,5.7,78.4,4997375.43,4451241.64
68,10572,"CORREA, JOSE",CA,46.0,DEM,2018,0.546017443,17.6,DEM,1.0,1,0.48425,1.0,0.35,False,0.0,65334.0,48,59.8,77.82667,994590.71,422264.05
69,10573,"BRISCOE, JOHN",CA,47.0,REP,2018,0.706543872,30.4,DEM,0.374910759,0,0.4635,1.0,0.35,True,0.0,68300.0,6,22.1,79.6,23775.0,11784.95
70,10586,"BAUGH, SCOTT",CA,48.0,REP,2018,0.546017443,44.2,DEM,0.5850731220000001,0,0.32325,1.0,0.35,True,4.0,89807.0,17,0.0,76.2,2167123.02,1899000.82
71,10607,"APPLEGATE, DOUGLAS LOREN",CA,49.0,DEM,2018,0.577353798,43.0,DEM,0.48989101700000004,0,0.23834,1.0,0.35,False,0.0,88314.0,50,0.0,77.75263,4866238.68,3356725.66
72,10614,"BEAUREGARD, PIERRE VOTEAU",CA,50.0,DEM,2018,0.577639076,27.0,DEM,0.36109036899999997,0,0.23481,1.0,0.35,False,4.0,77155.0,500,0.0,78.15238,2442887.16,1757939.73
73,10625,"FUENTES, LOUIS A",CA,51.0,REP,2018,0.610309126,13.8,DEM,0.281489103,0,0.34707,1.0,0.35,True,4.0,48043.0,136,0.0,78.3,45426.85,35131.15
74,10634,"ALLMAN, MICHAEL",CA,52.0,REP,2018,0.606207171,56.8,DEM,0.43621048,0,0.33578,1.0,0.35,True,4.0,95770.0,1,0.0,78.9,336961.27,318574.8
75,10638,"DAVIS, SUSAN A",CA,53.0,DEM,2018,0.606207171,36.2,DEM,0.66141536,1,0.37551,0.0,0.35,False,,72479.0,27,64.1,78.3,374146.45,388652.09
76,10649,"DEGETTE, DIANA L.",CO,1.0,DEM,2018,0.640008515,45.5,DEM,0.6781176440000001,1,0.22107,0.0,0.42,False,4.0,67441.0,97,68.3,79.3,1163061.2,1075620.8
77,10653,"DOTSON, HOWARD R MR.",CO,2.0,DEM,2018,0.559983773,53.3,DEM,0.567711877,0,0.0881,1.0,0.42,False,4.0,80019.0,188,0.0,78.7,1114301.19,885603.51
78,10665,"HANLON, KARL J",CO,3.0,DEM,2018,0.43955543,29.7,DEM,0.406002724,0,0.11489,1.0,0.42,False,4.0,52765.0,500,0.0,78.82,1370587.47,962540.82
79,10669,"BUCK, KENNETH R",CO,4.0,REP,2018,0.523226242,33.7,DEM,0.637679016,1,0.10211,1.0,0.42,True,4.0,73735.0,31,100.0,81.3,558252.4,423793.98
80,10683,"FIELD, BETTY ANN",CO,5.0,DEM,2018,0.367383523,34.8,DEM,0.307735731,0,0.19049000000000002,0.0,0.42,False,4.0,64179.0,500,0.0,80.6,308152.59,166390.98
81,10692,"AARESTAD, DAVID",CO,6.0,DEM,2018,0.520319842,41.5,DEM,0.42413791100000003,0,0.26245,1.0,0.42,False,4.0,80606.0,4,0.0,78.18947,4480404.03,3294517.47
82,10697,"BAER, DAN",CO,7.0,DEM,2018,0.5410802929999999,31.4,DEM,0.552393053,0,0.1222,1.0,0.42,False,,70574.0,12,0.0,75.69048,1621110.82,1210720.13
84,10706,"GRIFFIN, JAMES L",CT,1.0,REP,2018,0.575530474,36.4,DEM,0.34333211399999997,0,0.31555,1.0,0.39,True,4.0,69766.0,5,0.0,72.6,0.0,0.0
85,10709,"COURTNEY, JOSEPH D",CT,2.0,DEM,2018,0.571626358,34.3,DEM,0.62996064,1,0.14182,1.0,0.39,False,4.0,73805.0,11,100.0,74.8,1013822.78,667083.42
86,10713,"ANDERSON, BRYAN NEIL",CT,3.0,DEM,2018,0.580220682,35.6,DEM,0.686561278,0,0.27149,1.0,0.39,False,0.0,69178.0,46,0.0,73.3,1138791.47,1032245.27
87,10714,"ARORA, HARRY",CT,4.0,REP,2018,0.584789471,48.7,DEM,0.39937588399999996,0,0.26479,1.0,0.39,True,4.0,94547.0,200,100.0,76.9,729405.37,359926.07
88,10726,"CORBY-O'NEILL, RUBY",CT,5.0,REP,2018,0.583716804,35.3,DEM,0.420521831,0,0.21036999999999997,0.0,0.39,True,,71995.0,500,0.0,75.9,54887.0,40858.46
90,10737,"BLUNT ROCHESTER, LISA",DE,0.0,DEM,2018,,30.5,DEM,0.0,1,0.31172,0.0,0.39,False,4.0,62852.0,500,0.0,75.9,1160027.6,839724.66
91,10744,"DOSEV, CRIS",FL,1.0,REP,2018,0.292964798,26.5,REP,0.6912299590000001,0,0.23609000000000002,1.0,0.49,True,4.0,55229.0,500,0.0,73,997092.32,875134.74
92,10746,"DUNN, NEAL PATRICK MD, FACS",FL,2.0,REP,2018,0.382692504,23.0,REP,0.673354375,1,0.19165,1.0,0.49,True,4.0,48838.0,500,100.0,73,1278360.23,877664.38
93,10751,"CALLESTO, CHUCK",FL,3.0,REP,2018,0.403886607,26.4,REP,0.566105329,0,0.24427,1.0,0.49,True,0.0,47611.0,23,0.0,72.6,735830.81,537368.5
94,10761,"RUTHERFORD, JOHN",FL,4.0,REP,2018,0.436941985,37.8,REP,0.702296562,1,0.18787,1.0,0.49,True,4.0,68964.0,6,100.0,73.1,719309.17,291174.31
95,10766,"BATIE, RONTEL",FL,5.0,DEM,2018,0.512658081,19.8,REP,0.642168027,0,0.55467,1.0,0.49,False,4.0,40920.0,500,0.0,72.7,551505.78,543635.38
96,10775,"COFFMAN, ROBERT (BOB) PAUL",FL,6.0,DEM,2018,0.39196538299999995,22.6,REP,0.41411048799999994,0,0.17214000000000002,1.0,0.49,False,0.0,48197.0,7,0.0,73.2,2472023.31,1948890.17
97,10781,"FRANCOIS, VENNIA V.",FL,7.0,REP,2018,0.58856331,36.9,REP,0.48535266299999996,0,0.23385999999999998,0.0,0.49,True,0.0,61423.0,500,0.0,73.01333,857013.66,820141.32
98,10783,"GRAYSON, DENA MD, PHD",FL,8.0,DEM,2018,0.529266836,27.5,REP,0.325424268,0,0.16765,0.0,0.49,False,0.0,52180.0,500,0.0,75.1,306722.66,96636.44
99,10785,"BUCHAN, SEAN ALAN",FL,9.0,REP,2018,0.569377771,22.1,REP,0.42530155299999994,0,0.27166999999999997,1.0,0.49,True,4.0,50964.0,39,0.0,73.8,62764.16,18012.19
100,10791,"DARIUS, WADESON",FL,10.0,DEM,2018,0.628237893,28.9,REP,0.648636715,0,0.45963000000000004,0.0,0.49,False,4.0,50963.0,500,0.0,72.33684,730057.49,707863.27
101,10792,"ALLEN, SAMUEL",FL,11.0,DEM,2018,0.34948761700000003,19.9,REP,0.315887547,0,0.12352,1.0,0.49,False,4.0,46001.0,64,0.0,70.66667,75652.82,56661.51
102,10803,"BILIRAKIS, GUS M",FL,12.0,REP,2018,0.493580413,26.6,REP,0.6861012409999999,1,0.12109,1.0,0.49,True,4.0,52573.0,500,100.0,68.5,1763683.14,1293343.92
103,10804,"BUCK, GEORGE WILLIAM PHD",FL,13.0,REP,2018,0.494184842,28.1,REP,0.48113470399999997,0,0.21909,1.0,0.49,True,4.0,50724.0,53,56.0,69.8,26790.06,22465.87
104,10810,"CASTOR, KATHY",FL,14.0,DEM,2018,0.5356893070000001,34.3,REP,0.617721559,1,0.28536,0.0,0.49,False,0.0,51774.0,134,100.0,70,690116.61,604477.51
105,10813,"CARLSON, KRISTEN",FL,15.0,DEM,2018,0.481116241,24.7,REP,0.425099939,0,0.26545,0.0,0.49,False,0.0,53367.0,72,53.4,71.4,897400.9,395249.1
106,10833,"BUCHANAN, VERNON",FL,16.0,REP,2018,0.491619617,30.9,REP,0.597824647,1,0.15855999999999998,1.0,0.49,True,0.0,59437.0,500,100.0,70.8,2633218.89,2615914.39
107,10839,"AKINS, WILLIAM ALAN",FL,17.0,REP,2018,0.404884096,20.3,REP,0.618245081,0,0.13329000000000002,1.0,0.49,True,0.0,49449.0,9,0.0,69.5,670017.7,555019.3
108,10844,"BAER, LAUREN",FL,18.0,DEM,2018,0.54370737,29.7,REP,0.430449051,0,0.19659000000000001,0.0,0.49,False,4.0,58754.0,137,60.3,70.13333,3265877.78,2491494.27
109,10849,"HOLDEN, DAVID",FL,19.0,DEM,2018,0.38510498600000004,31.3,REP,0.34094043,0,0.14476,1.0,0.49,False,4.0,56828.0,4,67.9,72.1,416064.75,284656.85
110,10852,"CHERFILUS-MCCORMICK, SHEILA",FL,20.0,DEM,2018,0.635026202,20.6,REP,0.803013139,0,0.61403,0.0,0.49,False,4.0,44436.0,119,0.0,69.4,729448.12,770386.03
111,10854,"FRANKEL, LOIS J.",FL,21.0,DEM,2018,0.579025615,33.7,REP,0.626834023,1,0.24135,0.0,0.49,False,4.0,58410.0,500,100.0,70.98947,917699.71,755111.07
112,10859,"DEUTCH, THEODORE ELIOT",FL,22.0,DEM,2018,0.635026202,37.5,REP,0.589088804,1,0.23446999999999998,1.0,0.49,False,4.0,62353.0,181,86.5,71.57143,1127912.48,965238.49
113,10863,"KAUFMAN, JOSEPH 'JOE'",FL,23.0,REP,2018,0.6643282389999999,38.1,REP,0.405243741,0,0.27884000000000003,1.0,0.49,True,,66872.0,11,44.7,71.7,62533.26,56264.15
114,10869,"DE LA FUENTE, RICARDO",FL,24.0,DEM,2018,0.6643282389999999,18.9,REP,1.0,0,0.56305,1.0,0.49,False,4.0,41172.0,500,0.0,72.6,339352.17,190543.04
115,10872,"BARZEE FLORES, MARY",FL,25.0,DEM,2018,0.607545997,22.7,REP,0.37588820799999995,0,0.0959,0.0,0.49,False,0.0,50120.0,500,100.0,73.2,1791698.2,1389490.15
116,10879,"CURBELO, CARLOS MR.",FL,26.0,REP,2018,0.6437478729999999,25.1,REP,0.529623525,1,0.1821,1.0,0.49,True,3.0,56496.0,76,84.0,73.81429,4409291.89,2882441.01
117,10904,"ADADI, ELIZABETH",FL,27.0,REP,2018,0.651410799,37.4,REP,0.549101844,0,0.14015999999999998,0.0,0.49,True,,56183.0,12,0.0,73.81429,1195581.6,813184.1
118,10907,"BRIDGES, ADAM WAYNE",GA,1.0,DEM,2018,0.413757717,25.1,REP,0.0,0,0.36604000000000003,1.0,0.5,False,0.0,51223.0,36,0.0,73.1,164793.05,159450.41
119,10915,"BISHOP, SANFORD D",GA,2.0,DEM,2018,0.5337123460000001,17.3,REP,0.610340627,1,0.57665,1.0,0.5,False,4.0,37569.0,500,100.0,73.4,782470.65,648683.88
120,10916,"ENDERLIN, CHARLES JOSEPH JR.",GA,3.0,DEM,2018,0.41249321,25.2,REP,0.316309067,0,0.30691,1.0,0.5,False,0.0,58949.0,23,59.9,72.96,44064.97,27600.62
121,10921,"GUILLORY, RYAN MR.",GA,4.0,DEM,2018,0.665240975,29.9,REP,0.756222803,0,0.7347199999999999,1.0,0.5,False,1.0,57349.0,25,0.0,73.8,420592.4,389876.9
122,10925,"LEWIS, JOHN R.",GA,5.0,DEM,2018,0.7750307040000001,40.1,REP,0.845936915,1,0.6803100000000001,1.0,0.5,False,0.0,51810.0,6,100.0,72.1,3077396.32,1559524.51
123,10949,"ABEL, KEVIN",GA,6.0,DEM,2018,0.687434329,59.1,REP,0.383955186,0,0.32281,1.0,0.5,False,4.0,92317.0,13,30.5,74.78421,1264534.85,558090.43
124,10960,"ALLEN, KATHLEEN",GA,7.0,DEM,2018,0.46650920799999995,39.3,REP,0.395476115,0,0.45636000000000004,0.0,0.5,False,1.0,74868.0,69,0.0,76.82857,1893485.46,1072489.53
125,10964,"ELLYSON, DANIEL",GA,8.0,REP,2018,0.398893541,19.9,REP,0.676824553,0,0.37571,1.0,0.5,True,0.0,45279.0,12,0.0,78,766553.5,556098.1
126,10966,"COLLINS, DOUGLAS ALLEN",GA,9.0,REP,2018,0.259792685,21.3,REP,1.0,1,0.12212999999999999,1.0,0.5,True,0.0,56754.0,50,100.0,78.8,1253766.85,603693.44
127,10976,"COLLINS, KELLIE",GA,10.0,DEM,2018,0.466266112,24.7,REP,0.0,0,0.31184,0.0,0.5,False,1.0,53479.0,194,0.0,79.3,18786.07,16130.3
128,10982,"BROADY, FLYNN D. JR.",GA,11.0,DEM,2018,0.562715772,39.7,REP,0.325061571,0,0.25395999999999996,1.0,0.5,False,4.0,72445.0,500,100.0,79.6,44223.66,41255.2
129,10986,"ALLEN, RICHARD W",GA,12.0,REP,2018,0.401906781,20.7,REP,0.616150636,1,0.42173999999999995,1.0,0.5,True,0.0,43177.0,16,76.0,77.6,966991.75,542611.47
130,10992,"AKINKUGBE, FEMI",GA,13.0,REP,2018,0.621909714,28.3,REP,0.0,0,0.68848,1.0,0.5,True,0.0,55682.0,500,0.0,77.5,16172.0,11847.0
131,10997,"FOSTER, STEVEN",GA,14.0,DEM,2018,0.225261342,17.1,REP,0.0,0,0.14567,1.0,0.5,False,,50132.0,19,100.0,70.8,11392.0,7783.0
133,11010,"CASE, ED",HI,1.0,DEM,2018,0.660456654,34.6,DEM,0.7191981040000001,0,0.82337,1.0,0.32,False,3.0,80083.0,40,40.0,80,451355.39,371047.31
134,11019,"ALU CAMPAGNA, SHERYL FRANCYS",HI,2.0,DEM,2018,0.674413375,28.0,DEM,0.8110049509999999,0,0.67619,0.0,0.32,False,,75289.0,500,0.0,77.5,1279460.05,1244295.23
135,11022,"BLUM, RODNEY",IA,1.0,REP,2018,0.48109389700000005,25.5,REP,0.538965824,1,0.08967,1.0,0.44,True,4.0,57295.0,74,100.0,81.27619,2333788.98,1109725.05
136,11027,"CALIGIURI, GINNY",IA,2.0,REP,2018,0.478179069,27.6,REP,0.462977594,0,0.10462,0.0,0.44,True,0.0,54758.0,500,0.0,81.6,642118.32,523347.32
137,11031,"AXNE, CINDY",IA,3.0,DEM,2018,0.481146662,32.0,REP,0.39765997700000005,0,0.12294000000000001,0.0,0.44,False,4.0,65023.0,102,58.0,81.4,3588066.28,2357372.53
138,11050,"DAHL, PAUL ELLIOTT",IA,4.0,DEM,2018,0.355243566,23.3,REP,0.386065351,0,0.08056,1.0,0.44,False,,55496.0,27,0.0,80.5,1434486.17,812478.59
