,index,Cand_Id,Cand_Name,Cand_Office_Dist,Cand_Office_St,Cand_Party_Affiliation,D,DISTRICT,FEC ID#,Gender,Incumbent,Median_Income,Party_Previous_Vote_Share,Presidential_Approval_Rating,Primary.Vote.Percent,Raised,STATE,Same_Party_As_President,Spent,Unnamed: 0,Year,gov_party,labor_force,minority_percentage,name_commonness,percent_bachelor_or_above,recent_presidential_vote,seat_transition
10,70,H0AR03055,"WOMACK, STEVE",3.0,AR,REP,,3,H0AR03055,1.0,0.0,40674.0,0.78525503,0.4,31.18,717879.42,Arkansas,False,641115.26,70.0,2010.0,DEM,77.08667,0.13725,159.0,21.3,0.34330547,4.0
11,74,H0AR04038,"ROSS, MICHAEL AVERY",4.0,AR,DEM,,4,H0AR04038,1.0,1.0,35312.0,0.8617233790000001,0.4,100.0,2426280.46,Arkansas,True,3012726.94,74.0,2010.0,DEM,79.3,0.29564,1.0,15.0,0.404827686,
12,76,H0AS00018,"FALEOMAVAEGA, ENI",0.0,AS,DEM,,0,H0AS00018,0.0,0.0,,0.0,,,,American Samoa,True,,76.0,2010.0,DEM,character(0),,500.0,,,
13,81,H0AZ01259,"GOSAR, PAUL ANTHONY ANTHONY",1.0,AZ,REP,,1,H0AZ01259,1.0,0.0,40854.0,0.39429385200000006,0.43,30.73,1169026.19,Arizona,False,1168286.68,81.0,2010.0,REP,77.15333,0.29621,27.0,19.2,0.44106819799999997,0.0
14,93,H4AZ04024,"FRANKS, TRENT",2.0,AZ,REP,,2,H4AZ04024,1.0,1.0,47963.0,0.5943796720000001,0.43,80.87,965568.88,Arizona,False,989036.85,93.0,2010.0,REP,77.5,0.13960999999999998,500.0,21.9,0.439814685,4.0
15,109,H0AZ03362,"QUAYLE, BEN",3.0,AZ,REP,,3,H0AZ03362,1.0,0.0,52327.0,0.54077431,0.43,22.05,2653070.2,Arizona,False,2645463.16,109.0,2010.0,REP,76.5,0.1439,44.0,33.9,0.44544142299999995,1.0
16,117,H2AZ02055,"PASTOR, ED L",4.0,AZ,DEM,,4,H2AZ02055,1.0,1.0,31498.0,0.7210734000000001,0.43,100.0,1014290.67,Arizona,True,1092555.25,117.0,2010.0,REP,77.19474,0.31865,40.0,13.6,0.44544142299999995,0.0
17,125,H4AZ06045,"SCHWEIKERT, DAVID",5.0,AZ,REP,,5,H4AZ06045,1.0,0.0,55876.0,0.435735559,0.43,37.23,1732731.48,Arizona,False,1721363.62,125.0,2010.0,REP,77.49048,0.16605,4.0,43.6,0.44544142299999995,0.0
18,131,H0AZ01184,"FLAKE, JEFF MR.",6.0,AZ,REP,,6,H0AZ01184,1.0,1.0,56691.0,0.6241681029999999,0.43,64.6,538758.2,Arizona,False,774230.95,131.0,2010.0,REP,78.7,0.18269000000000002,192.0,28.5,0.443988399,1.0
19,138,H2AZ07070,"GRIJALVA, RAUL M",7.0,AZ,DEM,,7,H2AZ07070,1.0,1.0,39777.0,0.632625745,0.43,100.0,1470861.03,Arizona,True,1463648.18,138.0,2010.0,REP,76.1,0.26589,500.0,15.3,0.46312219600000004,0.0
20,147,H6AZ08038,"GIFFORDS, GABRIELLE",8.0,AZ,DEM,,8,H6AZ08038,0.0,1.0,49825.0,0.54720562,0.43,100.0,3504409.93,Arizona,True,3888405.81,147.0,2010.0,REP,77.7,0.14227,500.0,34.1,0.502409117,
21,157,H8CA01109,"THOMPSON, MIKE MR.",1.0,CA,DEM,,1,H8CA01109,1.0,1.0,48003.0,0.681001955,0.56,100.0,1912475.17,California,True,1901459.62,157.0,2010.0,REP,78.88947,0.22115,1.0,28.4,0.704198421,1.0
22,159,H6CA02010,"HERGER, WALLY",2.0,CA,REP,,2,H6CA02010,1.0,1.0,42249.0,0.5789499779999999,0.56,65.26,1010414.59,California,False,863128.49,159.0,2010.0,REP,78.17143,0.18667,500.0,20.4,0.491594728,0.0
23,168,H6CA34112,"LUNGREN, DANIEL E.",3.0,CA,REP,,3,H6CA34112,1.0,1.0,61853.0,0.494908389,0.56,100.0,2025541.46,California,False,1974501.49,168.0,2010.0,REP,77.4,0.30801999999999996,12.0,29.0,0.595003484,0.0
24,175,H8CA04152,"MCCLINTOCK, THOMAS",4.0,CA,REP,,4,H8CA04152,1.0,1.0,60629.0,0.50243388,0.56,78.48,1871673.55,California,False,1703386.7,175.0,2010.0,REP,78.3,0.14928,20.0,29.6,0.534013145,4.0
25,178,H6CA05195,"MATSUI, DORIS",5.0,CA,DEM,,5,H6CA05195,0.0,1.0,43953.0,0.7426556040000001,0.56,100.0,835400.43,California,True,842505.42,178.0,2010.0,REP,77.1,0.46878000000000003,500.0,25.4,0.595243796,4.0
26,187,H2CA01045,"WOOLSEY, LYNN C.",6.0,CA,DEM,,6,H2CA01045,0.0,1.0,64391.0,0.716913991,0.56,99.99,846466.17,California,True,898626.51,187.0,2010.0,REP,77.2,0.17882,164.0,40.5,0.768707659,0.0
27,190,H6CA07043,"MILLER, GEORGE",7.0,CA,DEM,,7,H6CA07043,1.0,1.0,61315.0,0.7282012840000001,0.56,85.04,972502.15,California,True,1008838.16,190.0,2010.0,REP,77.5,0.44073999999999997,53.0,25.5,0.681004684,4.0
28,197,H8CA05035,"PELOSI, NANCY",8.0,CA,DEM,,8,H8CA05035,0.0,1.0,69926.0,0.7186613709999999,0.56,100.0,2597318.64,California,True,2762400.22,197.0,2010.0,REP,76.6,0.48147,78.0,50.1,0.861222145,4.0
29,204,H8CA09060,"LEE, BARBARA",9.0,CA,DEM,,9,H8CA09060,0.0,1.0,53286.0,0.860644813,0.56,100.0,1156048.78,California,True,1156304.13,204.0,2010.0,REP,76.95333,0.52491,76.0,42.6,0.800612436,4.0
30,213,H0CA10149,"GARAMENDI, JOHN",10.0,CA,DEM,,10,H0CA10149,1.0,1.0,75457.0,0.651249301,0.56,100.0,1764504.06,California,True,1714971.13,213.0,2010.0,REP,76.9,0.3534,6.0,39.4,0.695085222,4.0
31,228,H4CA11081,"MCNERNEY, JERRY",11.0,CA,DEM,,11,H4CA11081,1.0,1.0,72075.0,0.55272566,0.56,100.0,3208078.03,California,True,3097236.5,228.0,2010.0,REP,76.3,0.32001,63.0,32.2,0.715546516,0.0
32,234,H8CA12171,"SPEIER, JACKIE",12.0,CA,DEM,,12,H8CA12171,0.0,1.0,82337.0,0.751132646,0.56,100.0,1060952.74,California,True,772791.25,234.0,2010.0,REP,76.95789,0.47336999999999996,500.0,46.3,0.812385074,4.0
33,240,H6CA09023,"STARK, FORTNEY P.",13.0,CA,DEM,,13,H6CA09023,1.0,1.0,73539.0,0.7643029929999999,0.56,84.35,487385.12,California,True,371118.55,240.0,2010.0,REP,77.34762,0.63546,500.0,36.9,0.800612436,4.0
34,242,H8CA12098,"ESHOO, ANNA",14.0,CA,DEM,,14,H8CA12098,0.0,1.0,94740.0,0.697671264,0.56,100.0,1464392.73,California,True,1395749.44,242.0,2010.0,REP,78,0.34503,87.0,57.0,0.728845445,0.0
35,248,H0CA15148,"HONDA, MIKE",15.0,CA,DEM,,15,H0CA15148,1.0,1.0,85700.0,0.716617279,0.56,100.0,773920.65,California,True,850364.24,248.0,2010.0,REP,77.8,0.52886,1.0,46.6,0.7088871720000001,0.0
36,253,H4CA16049,"LOFGREN, ZOE",16.0,CA,DEM,,16,H4CA16049,0.0,1.0,73973.0,0.713403498,0.56,100.0,782099.68,California,True,790373.93,253.0,2010.0,REP,76.6,0.52509,500.0,32.1,0.7088871720000001,0.0
37,259,H4CA17021,"FARR, SAM",17.0,CA,DEM,,17,H4CA17021,1.0,1.0,55026.0,0.738791738,0.56,88.79,704176.78,California,True,718568.64,259.0,2010.0,REP,76.9,0.22150999999999998,64.0,26.3,0.741661681,4.0
38,266,H2CA18056,"CARDOZA, DENNIS",18.0,CA,DEM,,18,H2CA18056,1.0,1.0,39297.0,1.0,0.56,100.0,1180308.37,California,True,1420229.82,266.0,2010.0,REP,77.5,0.32626,59.0,10.7,0.5139456379999999,4.0
39,267,H0CA19173,"DENHAM, JEFF",19.0,CA,REP,,19,H0CA19173,1.0,0.0,51553.0,0.984316396,0.56,100.0,1106669.57,California,False,1060088.28,267.0,2010.0,REP,78,0.20874,192.0,21.6,0.48936243100000004,4.0
40,274,H4CA20082,"COSTA, JIM MR.",20.0,CA,DEM,,20,H4CA20082,1.0,1.0,33089.0,0.7433455059999999,0.56,79.28,1795156.04,California,True,2076986.04,274.0,2010.0,REP,77.62667,0.3971,5.0,7.4,0.451172356,4.0
41,281,H8CA20059,"NUNES, DEVIN G",21.0,CA,REP,,21,H8CA20059,1.0,1.0,48113.0,0.683926316,0.56,100.0,1223375.95,California,False,994286.53,281.0,2010.0,REP,76.9,0.29441,500.0,17.6,0.47736899899999996,4.0
42,282,H6CA22125,"MCCARTHY, KEVIN",22.0,CA,REP,,22,H6CA22125,1.0,1.0,53626.0,1.0,0.56,100.0,2091010.31,California,False,1693570.59,282.0,2010.0,REP,76.3,0.25769000000000003,13.0,20.4,0.6761523359999999,4.0
43,284,H8CA22089,"CAPPS, LOIS G",23.0,CA,DEM,,23,H8CA22089,0.0,1.0,54049.0,0.680743324,0.56,100.0,955564.7,California,True,991078.62,284.0,2010.0,REP,75.92632,0.22335,500.0,27.8,0.568007585,4.0
44,294,H6CA21028,"GALLEGLY, ELTON",24.0,CA,REP,,24,H6CA21028,1.0,1.0,74103.0,0.5815392,0.56,100.0,783256.55,California,False,811193.84,294.0,2010.0,REP,75.37143,0.24251999999999999,500.0,34.3,0.5817609020000001,4.0
45,301,H2CA25036,"MCKEON, HOWARD P 'BUCK'",25.0,CA,REP,,25,H2CA25036,1.0,1.0,57862.0,0.5772799279999999,0.56,100.0,1254589.69,California,False,1334109.46,301.0,2010.0,REP,74.9,0.36696999999999996,188.0,21.2,0.675909567,4.0
46,304,H8CA35032,"DREIER, DAVID",26.0,CA,REP,,26,H8CA35032,1.0,1.0,75086.0,0.526391645,0.56,72.33,1243191.47,California,False,1391075.52,304.0,2010.0,REP,75.2,0.39337,4.0,36.7,0.676560512,4.0
47,310,H6CA24113,"SHERMAN, BRAD",27.0,CA,DEM,,27,H6CA24113,1.0,1.0,56836.0,0.6850940870000001,0.56,100.0,1743592.33,California,True,818272.53,310.0,2010.0,REP,74.6,0.37793000000000004,123.0,29.6,0.701108324,4.0
48,312,H2CA26026,"BERMAN, HOWARD L.",28.0,CA,DEM,,28,H2CA26026,1.0,1.0,50607.0,0.99891005,0.56,83.37,1914073.09,California,True,1124914.9,312.0,2010.0,REP,74.6,0.39713000000000004,188.0,27.5,0.701108324,4.0
49,321,H0CA27085,"SCHIFF, ADAM",29.0,CA,DEM,,29,H0CA27085,1.0,1.0,57700.0,0.689145109,0.56,100.0,1378951.49,California,True,1222795.04,321.0,2010.0,REP,73.4,0.4284,36.0,38.5,0.701108324,4.0
50,328,H6CA24048,"WAXMAN, HENRY A.",30.0,CA,DEM,,30,H6CA24048,1.0,1.0,75700.0,1.0,0.56,100.0,1538103.27,California,True,1440465.32,328.0,2010.0,REP,71.1,0.21402,120.0,59.7,0.701108324,4.0
51,330,H2CA30143,"BECERRA, XAVIER",31.0,CA,DEM,,31,H2CA30143,1.0,1.0,35194.0,1.0,0.56,88.03,1716196.21,California,True,1699464.63,330.0,2010.0,REP,72.41333,0.6171800000000001,500.0,20.0,0.701108324,0.0
52,339,H0CA32101,"CHU, JUDY",32.0,CA,DEM,,32,H0CA32101,0.0,1.0,49529.0,0.999938532,0.56,100.0,2502170.51,California,True,1860356.68,339.0,2010.0,REP,75.8,0.59262,500.0,17.0,0.701108324,4.0
53,356,H0CA33117,"BASS, KAREN",33.0,CA,DEM,,33,H0CA33117,0.0,0.0,41538.0,0.8756863109999999,0.56,85.3,932281.19,California,True,768918.65,356.0,2010.0,REP,74,0.65563,25.0,33.1,0.701108324,0.0
54,367,H2CA33048,"ROYBAL-ALLARD, LUCILLE",34.0,CA,DEM,,34,H2CA33048,0.0,1.0,36270.0,0.770946004,0.56,70.75,577788.12,California,True,611209.15,367.0,2010.0,REP,74.72632,0.48716000000000004,500.0,11.7,0.701108324,0.0
55,371,H4CA23011,"WATERS, MAXINE",35.0,CA,DEM,,35,H4CA23011,0.0,1.0,41271.0,0.8258233420000001,0.56,100.0,694020.76,California,True,718505.34,371.0,2010.0,REP,74.82857,0.61822,500.0,17.0,0.701108324,4.0
56,373,H2CA27107,"HARMAN, JANE",36.0,CA,DEM,,36,H2CA27107,0.0,1.0,65717.0,0.686443824,0.56,59.09,1203707.21,California,True,1301447.56,373.0,2010.0,REP,74.9,0.35769,500.0,43.2,0.701108324,0.0
57,384,H8CA37137,"RICHARDSON, LAURA",37.0,CA,DEM,,37,H8CA37137,0.0,1.0,46950.0,0.7494465109999999,0.56,67.34,639928.35,California,True,651730.72,384.0,2010.0,REP,75.2,0.53483,20.0,19.2,0.701108324,0.0
58,385,H8CA34068,"NAPOLITANO, GRACE",38.0,CA,DEM,,38,H8CA34068,0.0,1.0,51381.0,0.817271723,0.56,100.0,391824.31,California,True,265608.46,385.0,2010.0,REP,74.6,0.46279,500.0,15.0,0.701108324,0.0
59,391,H2CA39078,"SANCHEZ, LINDA",39.0,CA,DEM,,39,H2CA39078,0.0,0.0,53439.0,0.6967389970000001,0.56,29.25,723863.07,California,True,741142.01,391.0,2010.0,REP,74.6,0.56701,68.0,16.9,0.701108324,4.0
60,394,H6CA39020,"ROYCE, ED MR",40.0,CA,REP,,40,H6CA39020,1.0,1.0,65243.0,0.625490408,0.56,100.0,1797849.31,California,False,1661978.1,394.0,2010.0,REP,73.4,0.42896999999999996,40.0,31.2,0.48054726299999995,4.0
61,395,H8CA37079,"LEWIS, JERRY",41.0,CA,REP,,41,H8CA37079,1.0,1.0,49506.0,0.6164901429999999,0.56,66.28,688155.08,California,False,1148216.29,395.0,2010.0,REP,71.1,0.27526,63.0,20.0,0.521613793,4.0
62,401,H8CA41063,"MILLER, GARY G. G",42.0,CA,REP,,42,H8CA41063,1.0,1.0,83029.0,0.601580628,0.56,85.04,767699.77,California,False,769415.39,401.0,2010.0,REP,72.41333,0.37563,47.0,38.7,0.633596425,4.0
63,404,H6CA42099,"BACA, JOE",43.0,CA,DEM,,43,H6CA42099,1.0,1.0,46728.0,0.691437112,0.56,100.0,758696.3,California,True,697007.19,404.0,2010.0,REP,75.8,0.41693,107.0,11.5,0.526335474,4.0
64,406,H2CA37023,"CALVERT, KEN",44.0,CA,REP,,44,H2CA37023,1.0,1.0,67381.0,0.511911656,0.56,66.28,1663591.45,California,False,1540252.72,406.0,2010.0,REP,74,0.31345,31.0,25.8,0.491708945,4.0
65,409,H8CA44034,"BONO MACK, MARY",45.0,CA,REP,,45,H8CA44034,0.0,0.0,49508.0,0.58291008,0.56,,2427223.83,California,False,2486843.85,409.0,2010.0,REP,75.15789,0.30746999999999997,500.0,21.1,0.51638991,1.0
66,415,H8CA42061,"ROHRABACHER, DANA",46.0,CA,REP,,46,H8CA42061,0.0,1.0,71332.0,0.525166768,0.56,100.0,404285.0,California,False,382318.61,415.0,2010.0,REP,75.72857,0.3426,57.0,40.5,0.646808608,4.0
67,420,H6CA46033,"SANCHEZ, LORETTA",47.0,CA,DEM,,47,H6CA46033,0.0,1.0,51647.0,0.6948957790000001,0.56,29.25,2056345.28,California,True,2303721.82,420.0,2010.0,REP,76.1,0.58307,500.0,13.5,0.48054726299999995,4.0
68,425,H6CA48039,"CAMPBELL, JOHN BT III",48.0,CA,REP,,48,H6CA48039,1.0,1.0,82047.0,0.556063777,0.56,100.0,1232266.43,California,False,783848.75,425.0,2010.0,REP,76.2,0.29732,6.0,52.6,0.48054726299999995,4.0
69,428,H0CA48024,"ISSA, DARRELL",49.0,CA,REP,,49,H0CA48024,1.0,1.0,57399.0,0.582955915,0.56,100.0,1495192.51,California,False,1232154.36,428.0,2010.0,REP,76,0.30632,137.0,23.1,0.538857931,4.0
70,431,H4CA49032,"BILBRAY, BRIAN P",50.0,CA,REP,,50,H4CA49032,1.0,1.0,70362.0,0.502395519,0.56,100.0,1207756.97,California,False,1104328.25,431.0,2010.0,REP,77.1,0.23574,8.0,45.4,0.5478353,4.0
71,437,H2CA50034,"FILNER, BOB",51.0,CA,DEM,,51,H2CA50034,1.0,1.0,50316.0,0.7274917209999999,0.56,100.0,943215.59,California,True,1006287.72,437.0,2010.0,REP,76.6,0.40967,7.0,18.2,0.5498341760000001,4.0
72,443,H8CA52052,"HUNTER, DUNCAN D.",52.0,CA,REP,,52,H8CA52052,1.0,1.0,67671.0,0.563670924,0.56,90.79,765970.77,California,False,757936.43,443.0,2010.0,REP,77.8,0.22879000000000002,500.0,32.3,0.5478353,0.0
73,448,H0CA49055,"DAVIS, SUSAN A",53.0,CA,DEM,,53,H0CA49055,0.0,1.0,48679.0,0.684867242,0.56,8.5,623885.89,California,True,718076.56,448.0,2010.0,REP,77.26667,0.30935,27.0,39.1,0.5478353,
74,456,H6CO01141,"DEGETTE, DIANA L.",1.0,CO,DEM,,1,H6CO01141,0.0,1.0,44859.0,0.719352937,0.49,100.0,825015.66,Colorado,True,822288.51,456.0,2010.0,DEM,74.2,0.29144000000000003,97.0,39.7,0.617640259,0.0
75,468,H8CO02137,"POLIS, JARED",2.0,CO,DEM,,2,H8CO02137,1.0,1.0,62146.0,0.625971175,0.49,100.0,1248539.37,Colorado,True,895953.1,468.0,2010.0,DEM,75.07368,0.13685999999999998,113.0,41.7,0.586356789,4.0
76,479,H6CO03139,"TIPTON, SCOTT R. MR.",3.0,CO,REP,,3,H6CO03139,1.0,0.0,44906.0,0.383872521,0.49,55.76,1232112.91,Colorado,False,1207831.54,479.0,2010.0,DEM,75.69048,0.12919,17.0,26.7,0.48445174399999996,0.0
77,484,H0CO04122,"GARDNER, CORY SCOTT REP.",4.0,CO,REP,,4,H0CO04122,1.0,0.0,50167.0,0.438031304,0.49,100.0,2426591.08,Colorado,False,2407602.45,484.0,2010.0,DEM,76.1,0.1037,99.0,32.0,0.565821216,0.0
78,492,H6CO05159,"LAMBORN, DOUGLAS",5.0,CO,REP,,5,H6CO05159,1.0,1.0,50925.0,0.600301496,0.49,100.0,338475.98,Colorado,False,182882.68,492.0,2010.0,DEM,76.2,0.1772,50.0,33.1,0.403664201,0.0
79,495,H8CO06138,"COFFMAN, MIKE",6.0,CO,REP,,6,H8CO06138,1.0,1.0,82062.0,0.6066894310000001,0.49,100.0,904465.84,Colorado,False,576556.04,495.0,2010.0,DEM,76,0.11075,1.0,48.8,0.51998606,4.0
80,505,H6CO07023,"PERLMUTTER, EDWIN G",7.0,CO,DEM,,7,H6CO07023,1.0,1.0,50360.0,0.634820471,0.49,100.0,2443962.01,Colorado,True,2943592.74,505.0,2010.0,DEM,77.1,0.23678000000000002,185.0,27.5,0.561213788,
81,511,H8CT01046,"LARSON, JOHN B",1.0,CT,DEM,,1,H8CT01046,1.0,1.0,59321.0,0.0,0.57,,2401251.52,Connecticut,True,2445769.76,511.0,2010.0,REP,77.8,0.28221,6.0,32.1,0.631626475,0.0
82,516,H2CT02112,"COURTNEY, JOSEPH D",2.0,CT,DEM,,2,H2CT02112,1.0,1.0,68952.0,0.0,0.57,,1781959.07,Connecticut,True,2171903.82,516.0,2010.0,REP,77.26667,0.12174000000000001,11.0,32.6,0.6274678029999999,0.0
83,525,H0CT03072,"DELAURO, ROSA L",3.0,CT,DEM,,3,H0CT03072,0.0,1.0,57676.0,0.0,0.57,,1309372.93,Connecticut,True,1373230.35,525.0,2010.0,REP,73.2,0.22635,500.0,32.1,0.605046349,4.0
84,534,H8CT04172,"HIMES, JIM",4.0,CT,DEM,,4,H8CT04172,1.0,1.0,77074.0,0.0,0.57,,3660497.57,Connecticut,True,3603727.34,534.0,2010.0,REP,72.2,0.24968,5.0,45.9,0.6037183279999999,0.0
85,543,H6CT05124,"MURPHY, CHRISTOPHER",5.0,CT,DEM,,5,H6CT05124,1.0,1.0,60460.0,59.9,0.57,,3034971.25,Connecticut,True,3079678.37,543.0,2010.0,REP,72.44737,0.21129,2.0,33.6,0.615582553,
86,551,H0DC00058,"NORTON, ELEANOR HOLMES",0.0,DC,DEM,,0,H0DC00058,0.0,0.0,60903.0,0.0,,90.18,425600.0,District of Columbia,True,355836.41,551.0,2010.0,DEM,character(0),,500.0,,,
87,559,H0DE01017,"CARNEY, JOHN CHARLES JR",0.0,DE,DEM,,0,H0DE01017,1.0,0.0,55847.0,0.379897109,,100.0,2138565.29,Delaware,True,2113640.17,559.0,2010.0,DEM,72.6,0.29309,6.0,27.7,0.6263494789999999,4.0
88,573,H2FL01100,"MILLER, JEFFERSON B",1.0,FL,REP,,1,H2FL01100,1.0,1.0,45140.0,0.701840317,0.47,100.0,567897.85,Florida,False,556852.61,573.0,2010.0,REP,72.1,0.22016999999999998,500.0,22.7,0.293545853,4.0
89,587,H0FL02110,"SOUTHERLAND, WILLIAM STEVE II",2.0,FL,REP,,2,H0FL02110,1.0,0.0,41929.0,0.380755037,0.47,46.86,1291070.74,Florida,False,1290928.8,587.0,2010.0,REP,72.4,0.27965999999999996,9.0,25.3,0.343091555,4.0
90,589,H2FL03056,"BROWN, CORRINE",3.0,FL,DEM,,3,H2FL03056,0.0,1.0,31968.0,1.0,0.47,80.2,966668.78,Florida,True,979733.25,589.0,2010.0,REP,72.23333,0.59137,500.0,14.9,0.398128191,1.0
91,598,H0FL04066,"CRENSHAW, ANDER HON",4.0,FL,REP,,4,H0FL04066,1.0,1.0,50337.0,0.652546864,0.47,100.0,554327.37,Florida,False,669113.37,598.0,2010.0,REP,69.9,0.24168,500.0,27.2,0.305446175,0.0
92,603,H0FL05139,"NUGENT, RICHARD B",5.0,FL,REP,,5,H0FL05139,1.0,0.0,42473.0,0.611546196,0.47,62.19,518609.48,Florida,False,506953.89,603.0,2010.0,REP,68.9,0.12061,16.0,19.3,0.406579488,0.0
93,610,H8FL06056,"STEARNS, CLIFFORD B.",6.0,FL,REP,,6,H8FL06056,1.0,1.0,43971.0,0.608875151,0.47,71.49,771907.08,Florida,False,917485.78,610.0,2010.0,REP,70.31053,0.23019,199.0,24.3,0.492374728,4.0
94,614,H2FL08055,"MICA, JOHN L. MR.",7.0,FL,REP,,7,H2FL08055,1.0,1.0,48341.0,0.6200336089999999,0.47,100.0,1205985.13,Florida,False,1334101.34,614.0,2010.0,REP,71.37143,0.18269000000000002,6.0,28.3,0.36495398799999995,4.0
95,632,H0FL08208,"WEBSTER, DANIEL",8.0,FL,REP,,8,H0FL08208,1.0,0.0,45221.0,0.47989432600000004,0.47,40.19,1821764.46,Florida,False,1756774.9,632.0,2010.0,REP,73,0.2229,12.0,29.7,0.43799556,4.0
96,633,H6FL09070,"BILIRAKIS, GUS MICHAEL",9.0,FL,REP,,9,H6FL09070,1.0,1.0,46928.0,0.621712622,0.47,100.0,1088911.24,Florida,False,915411.41,633.0,2010.0,REP,71,0.13821,500.0,29.4,,4.0
97,640,H6FL06035,"YOUNG, C. W. BILL",10.0,FL,REP,,10,H6FL06035,1.0,1.0,44062.0,0.6068023370000001,0.47,100.0,697977.68,Florida,False,965474.94,640.0,2010.0,REP,71.1,0.12019,500.0,26.9,,1.0
98,644,H6FL11126,"CASTOR, KATHY",11.0,FL,DEM,,11,H6FL11126,0.0,1.0,37724.0,0.716558142,0.47,85.29,887032.51,Florida,True,680010.98,644.0,2010.0,REP,73.2,0.37858,134.0,24.4,,4.0
99,653,H0FL12101,"ROSS, DENNIS ALAN",12.0,FL,REP,,12,H0FL12101,1.0,0.0,42150.0,0.574626427,0.47,68.98,1174682.32,Florida,False,1151468.58,653.0,2010.0,REP,71.3,0.24595999999999998,59.0,20.0,0.291468853,0.0
100,658,H6FL13148,"BUCHANAN, VERNON",13.0,FL,REP,,13,H6FL13148,1.0,1.0,45514.0,0.555391906,0.47,83.45,2078743.41,Florida,False,973705.05,658.0,2010.0,REP,72.3,0.11360999999999999,500.0,26.8,,0.0
101,661,H4FL14059,"MACK, CONNIE",14.0,FL,REP,,14,H4FL14059,0.0,0.0,46905.0,0.594356574,0.47,100.0,963782.24,Florida,False,1055865.11,661.0,2010.0,REP,72.07333,0.14067000000000002,160.0,27.5,0.23804039,4.0
102,665,H8FL15107,"POSEY, BILL",15.0,FL,REP,,15,H8FL15107,1.0,1.0,45613.0,0.530993089,0.47,100.0,1094169.05,Florida,False,1027986.87,665.0,2010.0,REP,71.1,0.1739,9.0,24.8,0.291468853,4.0
103,671,H8FL16022,"ROONEY, TOM",16.0,FL,REP,,16,H8FL16022,1.0,1.0,43420.0,0.600932864,0.47,100.0,1426150.54,Florida,False,993127.75,671.0,2010.0,REP,71.5,0.16297,20.0,22.5,,0.0
