,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,STATE,D,FEC ID#,Cand_Id,GE WINNER INDICATOR
19,"ROBY, MARTHA",AL,2.0,REP,2012,0.407023755,20.9,REP,0.510937715,1,0.33997,0.0,0.36,False,4.0,40833.0,161,100.00,80.9,1035717.36,862502.48,Alabama,02,H0AL02087,H0AL02087,W
20,"HARRIS, JOHN ANDREW",AL,3.0,DEM,2012,0.456924713,19.0,REP,0.40519349299999996,0,0.29704,1.0,0.36,True,4.0,40292.0,6,100.00,79,3147.0,3785.71,Alabama,03,H2AL03099,H2AL03099,
21,"ROGERS, MICHAEL DENNIS",AL,3.0,REP,2012,0.456924713,19.0,REP,0.594806507,1,0.29704,1.0,0.36,False,4.0,40292.0,1,100.00,79,1069891.19,982102.34,Alabama,03,H2AL03032,H2AL03032,W
22,"ADERHOLT, ROBERT BROWN",AL,4.0,REP,2012,0.239855583,14.7,REP,1.0,1,0.12043,1.0,0.36,False,0.0,37187.0,7,100.00,80.20526,1247169.37,1140896.88,Alabama,04,H6AL04098,H6AL04098,W
23,"BOMAN, DANIEL HEATH",AL,4.0,DEM,2012,0.239855583,14.7,REP,0.0,0,0.12043,1.0,0.36,True,0.0,37187.0,12,51.45,80.20526,13561.0,5575.0,Alabama,04,H2AL04055,H2AL04055,
24,"NEIGHBORS, RICK",AL,4.0,DEM,2012,0.239855583,14.7,REP,0.0,0,0.12043,1.0,0.36,True,0.0,37187.0,16,48.55,80.20526,13561.0,5575.0,Alabama,04,H2AL04063,H2AL04063,
25,"ANDERSON, JASON EDWARD",AL,5.0,REP,2012,0.369056549,28.4,REP,0.579356697,0,0.22985,1.0,0.36,False,0.0,50230.0,3,,80.7619,904753.18,455514.82,,,,,
26,"BROOKS, MO",AL,5.0,REP,2012,0.369056549,28.4,REP,0.579356697,1,0.22985,1.0,0.36,False,0.0,50230.0,500,70.94,80.7619,904753.18,455514.82,Alabama,05,H0AL05163,H0AL05163,W
27,"GRIFFITH, R PARKER",AL,5.0,REP,2012,0.369056549,28.4,REP,0.579356697,0,0.22985,1.0,0.36,False,0.0,50230.0,500,29.06,80.7619,904753.18,455514.82,Alabama,05,H8AL05109,H8AL05109,
28,"HOLLEY, CHARLIE LEE",AL,5.0,DEM,2012,0.369056549,28.4,REP,0.42064330299999997,0,0.22985,1.0,0.36,True,0.0,50230.0,23,100.00,80.7619,55891.98,55873.8,Alabama,05,H2AL05094,H2AL05094,
29,"BACHUS, SPENCER T III",AL,6.0,REP,2012,0.425701714,33.7,REP,1.0,1,0.19692,1.0,0.36,False,4.0,55656.0,500,61.45,80.7,2725003.77,2904500.84,Alabama,06,H2AL06035,H2AL06035,W
30,"BAILEY, PENNY HUGGINS",AL,6.0,DEM,2012,0.425701714,33.7,REP,0.0,0,0.19692,0.0,0.36,True,4.0,55656.0,500,61.05,80.7,50326.0,50433.0,Alabama,06,H2AL06142,H2AL06142,
31,"BARNES, WILLIAM",AL,6.0,DEM,2012,0.425701714,33.7,REP,0.0,0,0.19692,1.0,0.36,True,4.0,55656.0,9,38.95,80.7,50326.0,50433.0,Alabama,06,H2AL06159,H2AL06159,
32,"BEASON, SCOTT",AL,6.0,REP,2012,0.425701714,33.7,REP,1.0,0,0.19692,1.0,0.36,False,4.0,55656.0,17,27.81,80.7,2725003.77,2904500.84,Alabama,06,H2AL06126,H2AL06126,
33,"MICKLE, AL",AL,6.0,REP,2012,0.425701714,33.7,REP,1.0,0,0.19692,1.0,0.36,False,4.0,55656.0,126,2.84,80.7,2725003.77,2904500.84,Alabama,06,H2AL06134,H2AL06134,
34,"STANDRIDGE, JACK DAVID",AL,6.0,REP,2012,0.425701714,33.7,REP,1.0,0,0.19692,1.0,0.36,False,4.0,55656.0,146,7.87,80.7,2725003.77,2904500.84,Alabama,06,H2AL06100,H2AL06100,
35,"CHAMBERLAIN, DON",AL,7.0,REP,2012,0.522854019,17.6,REP,0.275152981,0,0.65714,1.0,0.36,False,,31080.0,42,66.10,81.8,22051.03,21243.32,Alabama,07,H0AL07177,H0AL07177,
36,"NORRIS, PHILLIP DWIGHT",AL,7.0,REP,2012,0.522854019,17.6,REP,0.275152981,0,0.65714,1.0,0.36,False,,31080.0,71,33.90,81.8,22051.03,21243.32,Alabama,07,H2AL07165,H2AL07165,
37,"SEWELL, TERRYCINA ANDREA",AL,7.0,DEM,2012,0.522854019,17.6,REP,0.724847019,1,0.65714,0.0,0.36,True,,31080.0,500,100.00,81.8,1204449.57,862853.98,Alabama,07,H0AL07086,H0AL07086,W
38,"CRAWFORD, ERIC ALAN RICK",AR,1.0,REP,2012,0.38612868,14.2,DEM,0.517890971,1,0.21341,1.0,0.37,False,0.0,36130.0,14,100.00,79.6,1338445.93,1211036.11,Arkansas,01,H0AR01083,H0AR01083,W
39,"ELLINGTON, SCOTT A",AR,1.0,DEM,2012,0.38612868,14.2,DEM,0.434799758,0,0.21341,1.0,0.37,True,0.0,36130.0,17,49.53,79.6,372375.1,370676.52,Arkansas,01,H2AR01071,H2AR01071,
40,"HALL, CLARK MADISON",AR,1.0,DEM,2012,0.38612868,14.2,DEM,0.434799758,0,0.21341,1.0,0.37,True,0.0,36130.0,500,38.76,79.6,372375.1,370676.52,Arkansas,01,H2AR01055,H2AR01055,
41,"HOLLOWAY, JACOB",AR,1.0,GRE,2012,0.38612868,14.2,DEM,0.046220425,0,0.21341,1.0,0.37,False,0.0,36130.0,78,,79.6,,,Arkansas,01,H2AR01097,H2AR01097,
42,"LATANICH, GARY ANDREW",AR,1.0,DEM,2012,0.38612868,14.2,DEM,0.434799758,0,0.21341,1.0,0.37,True,0.0,36130.0,47,11.71,79.6,372375.1,370676.52,Arkansas,01,H2AR01063,H2AR01063,
43,"PAXTON, JESSICA",AR,1.0,LIB,2012,0.38612868,14.2,DEM,0.0,0,0.21341,0.0,0.37,False,0.0,36130.0,11,,79.6,,,Arkansas,01,H2AR01089,H2AR01089,
44,"GRIFFIN, JOHN TIMOTHY",AR,2.0,REP,2012,0.447858288,26.8,DEM,0.579146348,1,0.26083,1.0,0.37,False,0.0,45866.0,6,100.00,79.5,1619346.36,1659463.02,Arkansas,02,H0AR02107,H0AR02107,W
45,"HAYES, CHRIS",AR,2.0,LIB,2012,0.447858288,26.8,DEM,0.0,0,0.26083,1.0,0.37,False,0.0,45866.0,109,,79.5,,,Arkansas,02,H2AR02061,H2AR02061,
46,"RULE, HERB C. III",AR,2.0,DEM,2012,0.447858288,26.8,DEM,0.382743867,0,0.26083,1.0,0.37,True,0.0,45866.0,500,100.00,79.5,241360.14,228631.58,Arkansas,02,H2AR02053,H2AR02053,
47,"WARD, BARBARA",AR,2.0,GRE,2012,0.447858288,26.8,DEM,0.017072083000000002,0,0.26083,0.0,0.37,False,0.0,45866.0,76,,79.5,,,Arkansas,02,H2AR02079,H2AR02079,
48,"ADEN, KENNETH WADE",AR,3.0,DEM,2012,0.34330547,23.5,DEM,0.0,0,0.14301,1.0,0.37,True,4.0,42102.0,31,100.00,78.8,,,,,,,
49,"KENNEDY, REBEKAH",AR,3.0,GRE,2012,0.34330547,23.5,DEM,0.0,0,0.14301,0.0,0.37,False,4.0,42102.0,500,,78.8,,,Arkansas,03,H2AR03259,H2AR03259,
50,"PANGRAC, DAVID",AR,3.0,LIB,2012,0.34330547,23.5,DEM,0.0,0,0.14301,1.0,0.37,False,4.0,42102.0,4,100.00,78.8,,,Arkansas,03,H2AR03267,H2AR03267,
51,"WOMACK, STEVE",AR,3.0,REP,2012,0.34330547,23.5,DEM,0.724350755,1,0.14301,1.0,0.37,False,4.0,42102.0,159,100.00,78.8,932788.07,602443.0,Arkansas,03,H0AR03055,H0AR03055,W
52,"COTTON, THOMAS",AR,4.0,REP,2012,0.404827686,15.0,DEM,0.40152918600000004,0,0.2545,1.0,0.37,False,,35767.0,20,57.55,79.19333,2213217.51,2094866.54,Arkansas,04,H2AR04083,H2AR04083,W
53,"COWART, JOHN DAVID",AR,4.0,REP,2012,0.404827686,15.0,DEM,0.40152918600000004,0,0.2545,1.0,0.37,False,,35767.0,6,5.38,79.19333,2213217.51,2094866.54,Arkansas,04,H2AR04117,H2AR04117,
54,"DRAKE, JOSHUA",AR,4.0,GRE,2012,0.404827686,15.0,DEM,0.02317918,0,0.2545,1.0,0.37,False,,35767.0,24,,79.19333,,,Arkansas,04,H8AR04098,H8AR04098,
55,"HURST, Q. BYRUM JR",AR,4.0,DEM,2012,0.404827686,15.0,DEM,0.5752916339999999,0,0.2545,1.0,0.37,True,,35767.0,500,35.74,79.19333,100330.0,98039.53,Arkansas,04,H2AR04133,H2AR04133,
56,"JEFFRESS, GENE",AR,4.0,DEM,2012,0.404827686,15.0,DEM,0.5752916339999999,0,0.2545,1.0,0.37,True,,35767.0,500,43.02,79.19333,100330.0,98039.53,Arkansas,04,H2AR04109,H2AR04109,
57,"MORRISON, DANIEL COCHRAN",AR,4.0,DEM,2012,0.404827686,15.0,DEM,0.5752916339999999,0,0.2545,1.0,0.37,True,,35767.0,12,21.24,79.19333,100330.0,98039.53,Arkansas,04,H2AR04125,H2AR04125,
58,"RANKIN, BETH ANNE",AR,4.0,REP,2012,0.404827686,15.0,DEM,0.40152918600000004,0,0.2545,0.0,0.37,False,,35767.0,110,37.07,79.19333,2213217.51,2094866.54,Arkansas,04,H0AR04079,H0AR04079,
59,"RICHMOND, MARCUS EDWARD",AR,4.0,REP,2012,0.404827686,15.0,DEM,0.40152918600000004,0,0.2545,1.0,0.37,False,,35767.0,72,,79.19333,2213217.51,2094866.54,,,,,
60,"TULLIS, BOBBY",AR,4.0,LIB,2012,0.404827686,15.0,DEM,0.0,0,0.2545,1.0,0.37,False,,35767.0,93,,79.19333,,,Arkansas,04,H2AR04141,H2AR04141,
61,"AL-SHERI, FATUMALALA LEULUA'IALI'I A.",AS,0.0,NNE,2012,,,DEM,0.0,0,,1.0,,False,,,500,,character(0),,,American Samoa,00,H2AS00063,H2AS00063,
62,AUMUA AMATA,AS,0.0,REP,2012,,,DEM,0.0,0,,0.0,,False,,,500,,character(0),,,American Samoa,00,H4AS00036,H4AS00036,
63,"FALEOMAVAEGA, ENI",AS,0.0,DEM,2012,,,DEM,0.0,0,,0.0,,True,,,500,,character(0),,,American Samoa,00,H0AS00018,H0AS00018,W
64,"LANCASTER, ROSIE FUALA'AU TAGO",AS,0.0,IND,2012,,,DEM,0.0,0,,0.0,,False,,,500,,character(0),,,American Samoa,00,H8AS00052,H8AS00052,
65,"MATA'UTIA, KERETI, JR.",AS,0.0,DEM,2012,,,DEM,0.0,0,,0.0,,True,,,500,,character(0),,,American Samoa,00,H2AS00055,H2AS00055,
66,"ALLEN, KIM LEE",AZ,1.0,LIB,2012,0.44106819799999997,22.9,REP,0.0,0,0.35435,0.0,0.42,False,4.0,45925.0,141,100.00,82,,,Arizona,01,H2AZ01321,H2AZ01321,
67,"BALDENEGRO, WENONA RAE BENALLY",AZ,1.0,DEM,2012,0.44106819799999997,22.9,REP,0.43730775,0,0.35435,0.0,0.42,True,4.0,45925.0,500,,82,2349202.7,2355341.7,Arizona,01,H2AZ01271,H2AZ01271,
68,"GATTI, PATRICK",AZ,1.0,REP,2012,0.44106819799999997,22.9,REP,0.49716637700000005,0,0.35435,1.0,0.42,False,4.0,45925.0,37,5.75,82,1477836.14,1489294.36,Arizona,01,H2AZ01313,H2AZ01313,
69,"KIRKPATRICK, ANN",AZ,1.0,DEM,2012,0.44106819799999997,22.9,REP,0.43730775,1,0.35435,0.0,0.42,True,4.0,45925.0,100,63.74,82,2349202.7,2355341.7,Arizona,01,H8AZ01104,H8AZ01104,W
70,"MARTIN, GAITHER",AZ,1.0,REP,2012,0.44106819799999997,22.9,REP,0.49716637700000005,0,0.35435,1.0,0.42,False,4.0,45925.0,500,19.03,82,1477836.14,1489294.36,Arizona,01,H2AZ01305,H2AZ01305,
71,"MCKEE, DOUGLAS CRAIG",AZ,1.0,REP,2012,0.44106819799999997,22.9,REP,0.49716637700000005,0,0.35435,1.0,0.42,False,4.0,45925.0,50,,82,1477836.14,1489294.36,,,,,
72,"OLIVAS, MIGUEL MIKE",AZ,1.0,DEM,2012,0.44106819799999997,22.9,REP,0.43730775,0,0.35435,1.0,0.42,True,4.0,45925.0,163,,82,2349202.7,2355341.7,,,,,
73,"PATON, JONATHAN",AZ,1.0,REP,2012,0.44106819799999997,22.9,REP,0.49716637700000005,0,0.35435,1.0,0.42,False,4.0,45925.0,32,60.86,82,1477836.14,1489294.36,Arizona,01,H0AZ08056,H0AZ08056,
74,"PROWELL, ANTHONY GENE",AZ,1.0,GRE,2012,0.44106819799999997,22.9,REP,0.0,0,0.35435,1.0,0.42,False,4.0,45925.0,22,,82,,,Arizona,02,H2AZ08045,H2AZ08045,
75,"WADE, DOUGLAS",AZ,1.0,REP,2012,0.44106819799999997,22.9,REP,0.49716637700000005,0,0.35435,1.0,0.42,False,4.0,45925.0,50,14.36,82,1477836.14,1489294.36,Arizona,01,H2AZ01289,H2AZ01289,
76,"ABOUD, PAULA ANN",AZ,2.0,DEM,2012,0.439814685,31.5,REP,0.310576484,0,0.19187,0.0,0.42,True,4.0,46139.0,98,,81.75333,2776638.85,2690570.19,,,,,
77,"ANTENORI, FRANK RONALD",AZ,2.0,REP,2012,0.439814685,31.5,REP,0.648845609,0,0.19187,1.0,0.42,False,4.0,46139.0,65,,81.75333,1458135.63,1438089.51,,,,,
78,"AVERSA, ALAN",AZ,2.0,IND,2012,0.439814685,31.5,REP,0.0,0,0.19187,1.0,0.42,False,4.0,46139.0,110,,81.75333,,,,,,,
79,"BARBER, RONALD",AZ,2.0,DEM,2012,0.439814685,31.5,REP,0.310576484,1,0.19187,1.0,0.42,True,4.0,46139.0,43,82.03,81.75333,2776638.85,2690570.19,Arizona,02,H2AZ08094,H2AZ08094,W
80,"BLACK, CHARLES ROLAND",AZ,2.0,REP,2012,0.439814685,31.5,REP,0.648845609,0,0.19187,1.0,0.42,False,4.0,46139.0,23,,81.75333,1458135.63,1438089.51,,,,,
81,"FARLEY, STEVE",AZ,2.0,DEM,2012,0.439814685,31.5,REP,0.310576484,0,0.19187,1.0,0.42,True,4.0,46139.0,159,,81.75333,2776638.85,2690570.19,,,,,
82,"KELLY, JESSE",AZ,2.0,REP,2012,0.439814685,31.5,REP,0.648845609,0,0.19187,1.0,0.42,False,4.0,46139.0,66,,81.75333,1458135.63,1438089.51,,,,,
83,"KONST, NOMIKI",AZ,2.0,DEM,2012,0.439814685,31.5,REP,0.310576484,0,0.19187,0.0,0.42,True,4.0,46139.0,500,,81.75333,2776638.85,2690570.19,,,,,
84,"KOSKINIEMI, MARK STEPHEN",AZ,2.0,REP,2012,0.439814685,31.5,REP,0.648845609,0,0.19187,1.0,0.42,False,4.0,46139.0,18,18.30,81.75333,1458135.63,1438089.51,Arizona,02,H2AZ08110,H2AZ08110,
85,"MCSALLY, MARTHA E",AZ,2.0,REP,2012,0.439814685,31.5,REP,0.648845609,0,0.19187,0.0,0.42,False,4.0,46139.0,161,81.70,81.75333,1458135.63,1438089.51,Arizona,02,H2AZ08102,H2AZ08102,
86,"AGUIRRE, AMANDA",AZ,3.0,DEM,2012,0.44544142299999995,15.5,REP,0.41144609299999996,0,0.27076999999999996,0.0,0.42,True,0.0,40145.0,17,25.89,81.7,908543.77,930949.81,Arizona,03,H2AZ03137,H2AZ03137,
87,"ALEGRIA, SAMUEL YOUNG JR",AZ,3.0,DEM,2012,0.44544142299999995,15.5,REP,0.41144609299999996,0,0.27076999999999996,1.0,0.42,True,0.0,40145.0,64,,81.7,908543.77,930949.81,,,,,
88,"ARREGUIN, JUAN MANUEL",AZ,3.0,DEM,2012,0.44544142299999995,15.5,REP,0.41144609299999996,0,0.27076999999999996,1.0,0.42,True,0.0,40145.0,68,8.48,81.7,908543.77,930949.81,Arizona,03,H2AZ03111,H2AZ03111,
89,"CROWE, DAVID",AZ,3.0,DEM,2012,0.44544142299999995,15.5,REP,0.41144609299999996,0,0.27076999999999996,1.0,0.42,True,0.0,40145.0,4,,81.7,908543.77,930949.81,,,,,
90,"GRIJALVA, RAUL M",AZ,3.0,DEM,2012,0.44544142299999995,15.5,REP,0.41144609299999996,1,0.27076999999999996,1.0,0.42,True,0.0,40145.0,500,65.63,81.7,908543.77,930949.81,Arizona,03,H2AZ07070,H2AZ07070,W
91,"GUERRA, BLANCA A",AZ,3.0,LIB,2012,0.44544142299999995,15.5,REP,0.050357810999999995,0,0.27076999999999996,0.0,0.42,False,0.0,40145.0,500,100.00,81.7,,,Arizona,03,H2AZ03145,H2AZ03145,
92,"JENNA, RUSSELL WALKER III",AZ,3.0,REP,2012,0.44544142299999995,15.5,REP,0.522364962,0,0.27076999999999996,1.0,0.42,False,0.0,40145.0,81,,81.7,242590.39,228934.29,,,,,
93,"MERCER, GABRIELA SAUCEDO",AZ,3.0,REP,2012,0.44544142299999995,15.5,REP,0.522364962,0,0.27076999999999996,0.0,0.42,False,0.0,40145.0,500,,81.7,242590.39,228934.29,Arizona,03,H2AZ07146,H2AZ07146,
94,"VASQUEZ, JAIME ALFREDO",AZ,3.0,REP,2012,0.44544142299999995,15.5,REP,0.522364962,0,0.27076999999999996,1.0,0.42,False,0.0,40145.0,133,34.68,81.7,242590.39,228934.29,Arizona,03,H2AZ07161,H2AZ07161,
95,"BABEU, PAUL RAYMOND",AZ,4.0,REP,2012,0.44544142299999995,17.7,REP,0.27527827,0,0.12541,1.0,0.42,False,4.0,42693.0,27,,79.8,1150701.15,1126649.26,,,,,
96,"DEWITT, REBECCA",AZ,4.0,DEM,2012,0.44544142299999995,17.7,REP,0.669415823,0,0.12541,0.0,0.42,True,4.0,42693.0,13,20.97,79.8,0.0,0.0,Arizona,07,H8AZ04116,H8AZ04116,
97,"GOSAR, PAUL ANTHONY",AZ,4.0,REP,2012,0.44544142299999995,17.7,REP,0.27527827,1,0.12541,1.0,0.42,False,4.0,42693.0,27,51.35,79.8,1150701.15,1126649.26,Arizona,04,H0AZ01259,H0AZ01259,W
98,"GOULD, RON",AZ,4.0,REP,2012,0.44544142299999995,17.7,REP,0.27527827,0,0.12541,1.0,0.42,False,4.0,42693.0,43,31.57,79.8,1150701.15,1126649.26,Arizona,04,H2AZ04135,H2AZ04135,
99,"GRAYSON, RICHARD",AZ,4.0,GRE,2012,0.44544142299999995,17.7,REP,0.0,0,0.12541,1.0,0.42,False,4.0,42693.0,16,100.00,79.8,,,Arizona,04,H8AZ06012,H8AZ06012,
100,"HERNAN, MICHAEL",AZ,4.0,REP,2012,0.44544142299999995,17.7,REP,0.27527827,0,0.12541,1.0,0.42,False,4.0,42693.0,1,,79.8,1150701.15,1126649.26,,,,,
101,"MURPHY, RICK",AZ,4.0,REP,2012,0.44544142299999995,17.7,REP,0.27527827,0,0.12541,1.0,0.42,False,4.0,42693.0,16,17.08,79.8,1150701.15,1126649.26,Arizona,04,H4AZ02093,H4AZ02093,
102,"PAMELIA, JOE",AZ,4.0,LIB,2012,0.44544142299999995,17.7,REP,0.029573372999999997,0,0.12541,1.0,0.42,False,4.0,42693.0,107,100.00,79.8,,,Arizona,04,H2AZ04176,H2AZ04176,
103,"ROBINSON, JOHNNIE ELBERT",AZ,4.0,DEM,2012,0.44544142299999995,17.7,REP,0.669415823,0,0.12541,1.0,0.42,True,4.0,42693.0,500,50.05,79.8,0.0,0.0,Arizona,04,H2AZ04150,H2AZ04150,
104,"WEISSER, MIKEL L",AZ,4.0,DEM,2012,0.44544142299999995,17.7,REP,0.669415823,0,0.12541,1.0,0.42,True,4.0,42693.0,500,49.95,79.8,0.0,0.0,Arizona,04,H2AZ04143,H2AZ04143,
105,"WINTERS, JUSTIN",AZ,4.0,IND,2012,0.44544142299999995,17.7,REP,0.0,0,0.12541,1.0,0.42,False,4.0,42693.0,38,,79.8,,,,,,,
106,"ADAMS, KIRK DAVID",AZ,5.0,REP,2012,0.44544142299999995,32.3,REP,0.520018846,0,0.13788,1.0,0.42,False,0.0,63236.0,500,48.15,80.37368,1273756.61,1186743.99,Arizona,05,H2AZ06148,H2AZ06148,
107,"MORGAN, SPENCER COLLINS",AZ,5.0,DEM,2012,0.44544142299999995,32.3,REP,0.432268551,0,0.13788,1.0,0.42,True,0.0,63236.0,500,100.00,80.37368,0.0,0.0,Arizona,05,H2AZ05140,H2AZ05140,
108,"SALMON, MATT",AZ,5.0,REP,2012,0.44544142299999995,32.3,REP,0.520018846,0,0.13788,1.0,0.42,False,0.0,63236.0,500,51.85,80.37368,1273756.61,1186743.99,Arizona,05,H4AZ01038,H4AZ01038,W
109,"ANDERSON, JACK",AZ,6.0,LIB,2012,0.443988399,40.1,REP,0.0,0,0.14007,1.0,0.42,False,4.0,60441.0,146,100.00,80.28571,,,Arizona,06,H2AZ06189,H2AZ06189,
110,"GRAY, CHUCK",AZ,6.0,REP,2012,0.443988399,40.1,REP,0.6642353329999999,0,0.14007,1.0,0.42,False,4.0,60441.0,23,,80.28571,1952869.87,1939383.28,,,,,
111,"JETTE, MATTHEW T",AZ,6.0,DEM,2012,0.443988399,40.1,REP,0.29117862899999997,0,0.14007,1.0,0.42,True,4.0,60441.0,10,51.91,80.28571,22921.45,22921.45,Arizona,06,H2AZ06171,H2AZ06171,
112,"KETOVER, JAMES",AZ,6.0,NNE,2012,0.443988399,40.1,REP,0.0,0,0.14007,1.0,0.42,False,4.0,60441.0,5,,80.28571,,,,,,,
113,"QUAYLE, BEN",AZ,6.0,REP,2012,0.443988399,40.1,REP,0.6642353329999999,0,0.14007,1.0,0.42,False,4.0,60441.0,44,48.52,80.28571,1952869.87,1939383.28,Arizona,06,H0AZ03362,H0AZ03362,
114,"SALAZAR, MARK",AZ,6.0,GRE,2012,0.443988399,40.1,REP,0.0,0,0.14007,1.0,0.42,False,4.0,60441.0,18,100.00,80.28571,,,Arizona,06,H2AZ06197,H2AZ06197,
115,"SCHWEIKERT, DAVID",AZ,6.0,REP,2012,0.443988399,40.1,REP,0.6642353329999999,0,0.14007,1.0,0.42,False,4.0,60441.0,4,51.48,80.28571,1952869.87,1939383.28,Arizona,06,H4AZ06045,H4AZ06045,W
116,"WILLIAMSON, W JOHN",AZ,6.0,DEM,2012,0.443988399,40.1,REP,0.29117862899999997,0,0.14007,1.0,0.42,True,4.0,60441.0,500,48.09,80.28571,22921.45,22921.45,Arizona,06,H2AZ05132,H2AZ05132,
117,"WILSON, PETER B",AZ,6.0,GRE,2012,0.443988399,40.1,REP,0.0,0,0.14007,1.0,0.42,False,4.0,60441.0,55,,80.28571,,,,,,,
118,"COBB, JOE",AZ,7.0,LIB,2012,0.46312219600000004,13.1,REP,0.02713266,0,0.31171,1.0,0.42,False,4.0,32259.0,107,100.00,80.4,,,Arizona,07,H6AZ07022,H6AZ07022,
119,"FISTLER, SCOTT MICHAEL",AZ,7.0,REP,2012,0.46312219600000004,13.1,REP,0.0,0,0.31171,1.0,0.42,False,4.0,32259.0,17,100.00,80.4,0.0,0.0,Arizona,07,H2AZ07179,H2AZ07179,
